,symbol,numShares,date
135,URBN,-100.0,2008-05-23 00:00:00
136,BDX,-100.0,2008-05-27 00:00:00
137,CPB,-100.0,2008-05-27 00:00:00
138,EXPE,-100.0,2008-05-27 00:00:00
139,RF,-100.0,2008-05-27 00:00:00
140,CBG,100.0,2008-07-30 00:00:00
141,ADM,100.0,2008-08-05 00:00:00
142,DNR,100.0,2008-08-05 00:00:00
143,FLS,100.0,2008-08-05 00:00:00
144,NEM,100.0,2008-08-05 00:00:00
145,TAP,100.0,2008-08-05 00:00:00
146,CBG,-100.0,2008-08-06 00:00:00
147,MOLX,100.0,2008-08-06 00:00:00
148,S,100.0,2008-08-06 00:00:00
149,WFM,100.0,2008-08-06 00:00:00
150,OKE,100.0,2008-08-08 00:00:00
151,APD,100.0,2008-08-11 00:00:00
152,CF,100.0,2008-08-11 00:00:00
153,DO,100.0,2008-08-11 00:00:00
154,FSLR,100.0,2008-08-11 00:00:00
155,MOS,100.0,2008-08-11 00:00:00
156,NEM,100.0,2008-08-11 00:00:00
157,ADM,-100.0,2008-08-12 00:00:00
158,DNR,-100.0,2008-08-12 00:00:00
159,EIX,100.0,2008-08-12 00:00:00
160,FLS,-100.0,2008-08-12 00:00:00
161,GS,100.0,2008-08-12 00:00:00
162,NEM,-100.0,2008-08-12 00:00:00
163,SE,100.0,2008-08-12 00:00:00
164,TAP,-100.0,2008-08-12 00:00:00
165,MOLX,-100.0,2008-08-13 00:00:00
166,S,-100.0,2008-08-13 00:00:00
167,WFM,-100.0,2008-08-13 00:00:00
168,STJ,100.0,2008-08-14 00:00:00
169,WM,100.0,2008-08-14 00:00:00
170,DV,100.0,2008-08-15 00:00:00
171,HAR,100.0,2008-08-15 00:00:00
172,OKE,0.0,2008-08-15 00:00:00
173,APD,-100.0,2008-08-18 00:00:00
174,CF,-100.0,2008-08-18 00:00:00
175,DO,-100.0,2008-08-18 00:00:00
176,FSLR,-100.0,2008-08-18 00:00:00
177,MOS,-100.0,2008-08-18 00:00:00
178,NEM,-100.0,2008-08-18 00:00:00
179,EIX,-100.0,2008-08-19 00:00:00
180,GS,-100.0,2008-08-19 00:00:00
181,SE,-100.0,2008-08-19 00:00:00
182,STJ,-100.0,2008-08-21 00:00:00
183,WM,-100.0,2008-08-21 00:00:00
184,DV,-100.0,2008-08-22 00:00:00
185,HAR,-100.0,2008-08-22 00:00:00
186,OKE,-100.0,2008-08-22 00:00:00
187,THC,100.0,2008-11-04 00:00:00
188,THC,-100.0,2008-11-11 00:00:00
189,CLX,100.0,2008-12-08 00:00:00
190,FLIR,100.0,2008-12-10 00:00:00
191,CLX,-100.0,2008-12-15 00:00:00
192,LO,100.0,2008-12-16 00:00:00
193,FLIR,-100.0,2008-12-17 00:00:00
194,LO,-100.0,2008-12-23 00:00:00
195,ESRX,100.0,2008-12-31 00:00:00
196,ICE,100.0,2009-01-06 00:00:00
197,PRGO,100.0,2009-01-06 00:00:00
198,RAI,100.0,2009-01-06 00:00:00
199,ESRX,-100.0,2009-01-08 00:00:00
200,ICE,-100.0,2009-01-13 00:00:00
201,PRGO,-100.0,2009-01-13 00:00:00
202,RAI,-100.0,2009-01-13 00:00:00
203,AIV,100.0,2009-02-06 00:00:00
204,AIV,-100.0,2009-02-13 00:00:00
205,GIS,100.0,2009-03-18 00:00:00
206,HRB,100.0,2009-03-24 00:00:00
207,GIS,-100.0,2009-03-25 00:00:00
208,ESRX,100.0,2009-03-27 00:00:00
209,STZ,100.0,2009-03-27 00:00:00
210,HRB,-100.0,2009-03-31 00:00:00
211,ABT,100.0,2009-04-03 00:00:00
212,BAX,100.0,2009-04-03 00:00:00
213,ESRX,-100.0,2009-04-03 00:00:00
214,STZ,-100.0,2009-04-03 00:00:00
215,ABT,-100.0,2009-04-13 00:00:00
216,BAX,-100.0,2009-04-13 00:00:00
217,TDC,100.0,2009-04-13 00:00:00
218,ETR,100.0,2009-04-14 00:00:00
219,NU,100.0,2009-04-14 00:00:00
220,ALXN,100.0,2009-04-15 00:00:00
221,NEM,100.0,2009-04-16 00:00:00
222,PBCT,100.0,2009-04-17 00:00:00
223,TDC,-100.0,2009-04-20 00:00:00
224,ETR,-100.0,2009-04-21 00:00:00
225,NU,-100.0,2009-04-21 00:00:00
226,ALXN,-100.0,2009-04-22 00:00:00
227,NEM,-100.0,2009-04-23 00:00:00
228,CPB,100.0,2009-04-24 00:00:00
229,GIS,100.0,2009-04-24 00:00:00
230,HRL,100.0,2009-04-24 00:00:00
231,PBCT,-100.0,2009-04-24 00:00:00
232,AET,100.0,2009-04-29 00:00:00
233,SRCL,100.0,2009-04-29 00:00:00
234,TSS,100.0,2009-04-29 00:00:00
235,VFC,100.0,2009-04-29 00:00:00
236,BLL,100.0,2009-04-30 00:00:00
237,JEC,100.0,2009-04-30 00:00:00
238,MCD,100.0,2009-04-30 00:00:00
239,MYL,100.0,2009-04-30 00:00:00
240,STJ,100.0,2009-04-30 00:00:00
241,AGN,100.0,2009-05-01 00:00:00
242,AON,100.0,2009-05-01 00:00:00
243,CPB,-100.0,2009-05-01 00:00:00
244,DLTR,100.0,2009-05-01 00:00:00
245,GIS,-100.0,2009-05-01 00:00:00
246,HRL,-100.0,2009-05-01 00:00:00
247,IFF,100.0,2009-05-01 00:00:00
248,KSS,100.0,2009-05-01 00:00:00
249,AMT,100.0,2009-05-04 00:00:00
250,DV,100.0,2009-05-04 00:00:00
251,WPO,100.0,2009-05-04 00:00:00
252,DF,100.0,2009-05-05 00:00:00
253,AET,-100.0,2009-05-06 00:00:00
254,GME,100.0,2009-05-06 00:00:00
255,SRCL,-100.0,2009-05-06 00:00:00
256,TSS,-100.0,2009-05-06 00:00:00
257,VFC,-100.0,2009-05-06 00:00:00
258,BBBY,100.0,2009-05-07 00:00:00
259,BLL,-100.0,2009-05-07 00:00:00
260,FDO,100.0,2009-05-07 00:00:00
261,JEC,-100.0,2009-05-07 00:00:00
262,MCD,-100.0,2009-05-07 00:00:00
263,MYL,-100.0,2009-05-07 00:00:00
264,NFLX,100.0,2009-05-07 00:00:00
265,ORCL,100.0,2009-05-07 00:00:00
266,PBI,100.0,2009-05-07 00:00:00
267,ROST,100.0,2009-05-07 00:00:00
268,STJ,-100.0,2009-05-07 00:00:00
269,SYMC,100.0,2009-05-07 00:00:00
270,TRV,100.0,2009-05-07 00:00:00
271,VZ,100.0,2009-05-07 00:00:00
272,XLNX,100.0,2009-05-07 00:00:00
273,AGN,-100.0,2009-05-08 00:00:00
274,AMT,100.0,2009-05-08 00:00:00
275,AON,-100.0,2009-05-08 00:00:00
276,AZO,100.0,2009-05-08 00:00:00
277,DLTR,-100.0,2009-05-08 00:00:00
278,IFF,-100.0,2009-05-08 00:00:00
279,KSS,-100.0,2009-05-08 00:00:00
280,NVDA,100.0,2009-05-08 00:00:00
281,ORLY,100.0,2009-05-08 00:00:00
282,WEC,100.0,2009-05-08 00:00:00
283,AMT,-100.0,2009-05-11 00:00:00
284,DV,-100.0,2009-05-11 00:00:00
285,HD,100.0,2009-05-11 00:00:00
286,LOW,100.0,2009-05-11 00:00:00
287,MCHP,100.0,2009-05-11 00:00:00
288,WPO,-100.0,2009-05-11 00:00:00
289,AZO,100.0,2009-05-12 00:00:00
290,DF,-100.0,2009-05-12 00:00:00
291,HAS,100.0,2009-05-12 00:00:00
292,NKE,100.0,2009-05-12 00:00:00
293,SNDK,100.0,2009-05-12 00:00:00
294,GME,-100.0,2009-05-13 00:00:00
295,BBBY,-100.0,2009-05-14 00:00:00
296,FDO,-100.0,2009-05-14 00:00:00
297,NFLX,-100.0,2009-05-14 00:00:00
298,ORCL,-100.0,2009-05-14 00:00:00
299,PBI,-100.0,2009-05-14 00:00:00
300,ROST,-100.0,2009-05-14 00:00:00
301,SYMC,-100.0,2009-05-14 00:00:00
302,TRV,-100.0,2009-05-14 00:00:00
303,VZ,-100.0,2009-05-14 00:00:00
304,XLNX,-100.0,2009-05-14 00:00:00
305,AMT,-100.0,2009-05-15 00:00:00
306,AZO,-100.0,2009-05-15 00:00:00
307,NVDA,-100.0,2009-05-15 00:00:00
308,ORLY,-100.0,2009-05-15 00:00:00
309,WEC,-100.0,2009-05-15 00:00:00
310,HD,-100.0,2009-05-18 00:00:00
311,LOW,-100.0,2009-05-18 00:00:00
312,MCHP,-100.0,2009-05-18 00:00:00
313,AZO,-100.0,2009-05-19 00:00:00
314,HAS,-100.0,2009-05-19 00:00:00
315,NKE,-100.0,2009-05-19 00:00:00
316,SNDK,-100.0,2009-05-19 00:00:00
317,BF.B,100.0,2009-05-29 00:00:00
318,CTAS,100.0,2009-05-29 00:00:00
319,FLIR,100.0,2009-05-29 00:00:00
320,MNST,100.0,2009-05-29 00:00:00
321,CAH,100.0,2009-06-02 00:00:00
322,AIG,100.0,2009-06-03 00:00:00
323,PCS,100.0,2009-06-03 00:00:00
324,TSO,100.0,2009-06-03 00:00:00
325,VLO,100.0,2009-06-03 00:00:00
326,BAX,100.0,2009-06-04 00:00:00
327,BF.B,-100.0,2009-06-05 00:00:00
328,CTAS,-100.0,2009-06-05 00:00:00
329,DTV,100.0,2009-06-05 00:00:00
330,EFX,100.0,2009-06-05 00:00:00
331,FLIR,-100.0,2009-06-05 00:00:00
332,MNST,0.0,2009-06-05 00:00:00
333,AET,100.0,2009-06-08 00:00:00
334,BAX,100.0,2009-06-08 00:00:00
335,HUM,100.0,2009-06-08 00:00:00
336,UNH,100.0,2009-06-08 00:00:00
337,VRSN,100.0,2009-06-08 00:00:00
338,CAH,-100.0,2009-06-09 00:00:00
339,PFE,100.0,2009-06-09 00:00:00
340,PRGO,100.0,2009-06-09 00:00:00
341,AIG,-100.0,2009-06-10 00:00:00
342,PCS,-100.0,2009-06-10 00:00:00
343,RAI,100.0,2009-06-10 00:00:00
344,TSO,-100.0,2009-06-10 00:00:00
345,VLO,-100.0,2009-06-10 00:00:00
346,AET,100.0,2009-06-11 00:00:00
347,BAX,-100.0,2009-06-11 00:00:00
348,CVH,100.0,2009-06-11 00:00:00
349,HUM,100.0,2009-06-11 00:00:00
350,LEN,100.0,2009-06-11 00:00:00
351,AMP,100.0,2009-06-12 00:00:00
352,DTV,-100.0,2009-06-12 00:00:00
353,EFX,-100.0,2009-06-12 00:00:00
354,HIG,100.0,2009-06-12 00:00:00
355,MNST,-100.0,2009-06-12 00:00:00
356,AET,-100.0,2009-06-15 00:00:00
357,BAX,-100.0,2009-06-15 00:00:00
358,HUM,-100.0,2009-06-15 00:00:00
359,UNH,-100.0,2009-06-15 00:00:00
360,VRSN,-100.0,2009-06-15 00:00:00
361,PFE,-100.0,2009-06-16 00:00:00
362,PRGO,-100.0,2009-06-16 00:00:00
363,RAI,-100.0,2009-06-17 00:00:00
364,AET,-100.0,2009-06-18 00:00:00
365,CVH,-100.0,2009-06-18 00:00:00
366,HUM,-100.0,2009-06-18 00:00:00
367,LEN,-100.0,2009-06-18 00:00:00
368,AMP,-100.0,2009-06-19 00:00:00
369,HIG,-100.0,2009-06-19 00:00:00
370,TSN,100.0,2009-07-20 00:00:00
371,KEY,100.0,2009-07-21 00:00:00
372,LMT,100.0,2009-07-21 00:00:00
373,RF,100.0,2009-07-21 00:00:00
374,ATI,100.0,2009-07-22 00:00:00
375,STJ,100.0,2009-07-22 00:00:00
376,BCR,100.0,2009-07-23 00:00:00
377,MCD,100.0,2009-07-23 00:00:00
378,SWY,100.0,2009-07-23 00:00:00
379,LMT,100.0,2009-07-24 00:00:00
380,PNC,100.0,2009-07-24 00:00:00
381,BCR,100.0,2009-07-27 00:00:00
382,TSN,-100.0,2009-07-27 00:00:00
383,DGX,100.0,2009-07-28 00:00:00
384,KEY,-100.0,2009-07-28 00:00:00
385,LMT,-100.0,2009-07-28 00:00:00
386,RF,-100.0,2009-07-28 00:00:00
387,ATI,-100.0,2009-07-29 00:00:00
388,S,100.0,2009-07-29 00:00:00
389,STJ,-100.0,2009-07-29 00:00:00
390,AKAM,100.0,2009-07-30 00:00:00
391,BCR,-100.0,2009-07-30 00:00:00
392,MCD,-100.0,2009-07-30 00:00:00
393,MCO,100.0,2009-07-30 00:00:00
394,PCS,100.0,2009-07-30 00:00:00
395,SWY,-100.0,2009-07-30 00:00:00
396,BDX,100.0,2009-07-31 00:00:00
397,DNB,100.0,2009-07-31 00:00:00
398,LMT,-100.0,2009-07-31 00:00:00
399,MKC,100.0,2009-07-31 00:00:00
400,PNC,-100.0,2009-07-31 00:00:00
401,AZO,100.0,2009-08-03 00:00:00
402,BCR,-100.0,2009-08-03 00:00:00
403,K,100.0,2009-08-03 00:00:00
404,DGX,-100.0,2009-08-04 00:00:00
405,PPL,100.0,2009-08-04 00:00:00
406,DGX,100.0,2009-08-05 00:00:00
407,EA,100.0,2009-08-05 00:00:00
408,EW,100.0,2009-08-05 00:00:00
409,S,-100.0,2009-08-05 00:00:00
410,AKAM,-100.0,2009-08-06 00:00:00
411,DF,100.0,2009-08-06 00:00:00
412,MCO,-100.0,2009-08-06 00:00:00
413,MKC,100.0,2009-08-06 00:00:00
414,ORLY,100.0,2009-08-06 00:00:00
415,PCS,0.0,2009-08-06 00:00:00
416,PG,100.0,2009-08-06 00:00:00
417,BDX,-100.0,2009-08-07 00:00:00
418,DNB,-100.0,2009-08-07 00:00:00
419,DRI,100.0,2009-08-07 00:00:00
420,GIS,100.0,2009-08-07 00:00:00
421,K,100.0,2009-08-07 00:00:00
422,MKC,-100.0,2009-08-07 00:00:00
423,PRGO,100.0,2009-08-07 00:00:00
424,AZO,-100.0,2009-08-10 00:00:00
425,K,-100.0,2009-08-10 00:00:00
426,PPL,-100.0,2009-08-11 00:00:00
427,DGX,-100.0,2009-08-12 00:00:00
428,DRI,100.0,2009-08-12 00:00:00
429,EA,-100.0,2009-08-12 00:00:00
430,EW,-100.0,2009-08-12 00:00:00
431,DF,-100.0,2009-08-13 00:00:00
432,FDO,100.0,2009-08-13 00:00:00
433,KO,100.0,2009-08-13 00:00:00
434,MKC,-100.0,2009-08-13 00:00:00
435,ORLY,-100.0,2009-08-13 00:00:00
436,PCS,-100.0,2009-08-13 00:00:00
437,PG,-100.0,2009-08-13 00:00:00
438,DRI,-100.0,2009-08-14 00:00:00
439,GIS,-100.0,2009-08-14 00:00:00
440,K,-100.0,2009-08-14 00:00:00
441,PRGO,-100.0,2009-08-14 00:00:00
442,DRI,-100.0,2009-08-19 00:00:00
443,FDO,-100.0,2009-08-20 00:00:00
444,KO,-100.0,2009-08-20 00:00:00
445,NTAP,100.0,2009-08-20 00:00:00
446,INTU,100.0,2009-08-21 00:00:00
447,HCBK,100.0,2009-08-25 00:00:00
448,NTAP,-100.0,2009-08-27 00:00:00
449,ACN,100.0,2009-08-28 00:00:00
450,EW,100.0,2009-08-28 00:00:00
