,symbol,numShares,date
0,THC,100.0,2008-01-03 00:00:00
1,THC,-100.0,2008-01-10 00:00:00
2,LSI,100.0,2008-02-06 00:00:00
3,ETFC,100.0,2008-02-11 00:00:00
4,LSI,-100.0,2008-02-13 00:00:00
5,ETFC,-100.0,2008-02-19 00:00:00
6,LSI,100.0,2008-02-19 00:00:00
7,ETFC,100.0,2008-02-20 00:00:00
8,LSI,-100.0,2008-02-26 00:00:00
9,ETFC,-100.0,2008-02-27 00:00:00
10,THC,100.0,2008-02-28 00:00:00
11,THC,0.0,2008-03-06 00:00:00
12,LSI,100.0,2008-03-07 00:00:00
13,THC,-100.0,2008-03-13 00:00:00
14,LSI,0.0,2008-03-14 00:00:00
15,THC,100.0,2008-03-17 00:00:00
16,LSI,100.0,2008-03-19 00:00:00
17,LSI,-100.0,2008-03-24 00:00:00
18,THC,-100.0,2008-03-25 00:00:00
19,LSI,0.0,2008-03-27 00:00:00
20,LSI,-100.0,2008-04-03 00:00:00
21,LSI,100.0,2008-04-17 00:00:00
22,LSI,100.0,2008-04-21 00:00:00
23,LSI,-100.0,2008-04-24 00:00:00
24,LSI,-100.0,2008-04-28 00:00:00
25,MSI,100.0,2008-06-19 00:00:00
26,MSI,-100.0,2008-06-26 00:00:00
27,F,100.0,2008-06-27 00:00:00
28,F,-100.0,2008-07-07 00:00:00
29,AMD,100.0,2008-07-10 00:00:00
30,HBAN,100.0,2008-07-14 00:00:00
31,AMD,-100.0,2008-07-17 00:00:00
32,AMD,100.0,2008-07-18 00:00:00
33,HBAN,-100.0,2008-07-21 00:00:00
34,MU,100.0,2008-07-24 00:00:00
35,AMD,-100.0,2008-07-25 00:00:00
36,F,100.0,2008-07-28 00:00:00
37,F,100.0,2008-07-30 00:00:00
38,MU,-100.0,2008-07-31 00:00:00
39,F,-100.0,2008-08-04 00:00:00
40,F,0.0,2008-08-06 00:00:00
41,F,0.0,2008-08-13 00:00:00
42,F,100.0,2008-08-18 00:00:00
43,MU,100.0,2008-08-19 00:00:00
44,F,-100.0,2008-08-20 00:00:00
45,F,-100.0,2008-08-25 00:00:00
46,MU,-100.0,2008-08-26 00:00:00
47,MSI,100.0,2008-09-10 00:00:00
48,AIG,100.0,2008-09-15 00:00:00
49,MU,100.0,2008-09-15 00:00:00
50,AMD,100.0,2008-09-17 00:00:00
51,F,100.0,2008-09-17 00:00:00
52,MSI,-100.0,2008-09-17 00:00:00
53,AIG,-100.0,2008-09-22 00:00:00
54,AMD,100.0,2008-09-22 00:00:00
55,F,100.0,2008-09-22 00:00:00
56,MU,-100.0,2008-09-22 00:00:00
57,AIG,100.0,2008-09-24 00:00:00
58,AMD,-100.0,2008-09-24 00:00:00
59,F,-100.0,2008-09-24 00:00:00
60,F,100.0,2008-09-25 00:00:00
61,AMD,0.0,2008-09-29 00:00:00
62,F,-100.0,2008-09-29 00:00:00
63,AIG,-100.0,2008-10-01 00:00:00
64,AMD,100.0,2008-10-01 00:00:00
65,F,100.0,2008-10-01 00:00:00
66,F,-100.0,2008-10-02 00:00:00
67,AMD,-100.0,2008-10-06 00:00:00
68,LSI,100.0,2008-10-06 00:00:00
69,THC,100.0,2008-10-06 00:00:00
70,S,100.0,2008-10-07 00:00:00
71,AMD,-100.0,2008-10-08 00:00:00
72,F,-100.0,2008-10-08 00:00:00
73,GNW,100.0,2008-10-08 00:00:00
74,XL,100.0,2008-10-09 00:00:00
75,LSI,-100.0,2008-10-13 00:00:00
76,THC,-100.0,2008-10-13 00:00:00
77,S,-100.0,2008-10-14 00:00:00
78,GNW,-100.0,2008-10-15 00:00:00
79,XL,-100.0,2008-10-16 00:00:00
80,IPG,100.0,2008-10-17 00:00:00
81,IPG,100.0,2008-10-21 00:00:00
82,GNW,100.0,2008-10-22 00:00:00
83,CBG,100.0,2008-10-23 00:00:00
84,TER,100.0,2008-10-23 00:00:00
85,AN,100.0,2008-10-24 00:00:00
86,IPG,-100.0,2008-10-24 00:00:00
87,DHI,100.0,2008-10-27 00:00:00
88,GNW,100.0,2008-10-27 00:00:00
89,IPG,-100.0,2008-10-28 00:00:00
90,GNW,0.0,2008-10-29 00:00:00
91,IPG,100.0,2008-10-29 00:00:00
92,TER,100.0,2008-10-29 00:00:00
93,CBG,-100.0,2008-10-30 00:00:00
94,TER,-100.0,2008-10-30 00:00:00
95,AN,-100.0,2008-10-31 00:00:00
96,DHI,-100.0,2008-11-03 00:00:00
97,GNW,-100.0,2008-11-03 00:00:00
98,GNW,-100.0,2008-11-05 00:00:00
99,IPG,-100.0,2008-11-05 00:00:00
100,TER,-100.0,2008-11-05 00:00:00
101,GNW,100.0,2008-11-06 00:00:00
102,IPG,100.0,2008-11-06 00:00:00
103,JDSU,100.0,2008-11-06 00:00:00
104,TER,100.0,2008-11-10 00:00:00
105,CBG,100.0,2008-11-11 00:00:00
106,STX,100.0,2008-11-12 00:00:00
107,TSN,100.0,2008-11-12 00:00:00
108,GNW,-100.0,2008-11-13 00:00:00
109,IPG,-100.0,2008-11-13 00:00:00
110,JDSU,-100.0,2008-11-13 00:00:00
111,CBG,100.0,2008-11-14 00:00:00
112,STX,100.0,2008-11-14 00:00:00
113,TSN,100.0,2008-11-14 00:00:00
114,TER,-100.0,2008-11-17 00:00:00
115,CBG,-100.0,2008-11-18 00:00:00
116,DHI,100.0,2008-11-19 00:00:00
117,GT,100.0,2008-11-19 00:00:00
118,LEN,100.0,2008-11-19 00:00:00
119,STX,-100.0,2008-11-19 00:00:00
120,TSN,-100.0,2008-11-19 00:00:00
121,WYN,100.0,2008-11-19 00:00:00
122,C,100.0,2008-11-20 00:00:00
123,CBS,100.0,2008-11-20 00:00:00
124,TSN,100.0,2008-11-20 00:00:00
125,XL,100.0,2008-11-20 00:00:00
126,CBG,-100.0,2008-11-21 00:00:00
127,HIG,100.0,2008-11-21 00:00:00
128,STX,-100.0,2008-11-21 00:00:00
129,TSN,-100.0,2008-11-21 00:00:00
130,CBG,100.0,2008-11-25 00:00:00
131,DHI,-100.0,2008-11-26 00:00:00
132,GT,-100.0,2008-11-26 00:00:00
133,LEN,-100.0,2008-11-26 00:00:00
134,WYN,-100.0,2008-11-26 00:00:00
135,C,-100.0,2008-11-28 00:00:00
136,CBG,100.0,2008-11-28 00:00:00
137,CBS,-100.0,2008-11-28 00:00:00
138,TSN,-100.0,2008-11-28 00:00:00
139,XL,-100.0,2008-11-28 00:00:00
140,HIG,-100.0,2008-12-01 00:00:00
141,XL,100.0,2008-12-01 00:00:00
142,CBG,-100.0,2008-12-03 00:00:00
143,CBG,-100.0,2008-12-05 00:00:00
144,XL,-100.0,2008-12-08 00:00:00
145,XL,100.0,2008-12-10 00:00:00
146,STX,100.0,2008-12-11 00:00:00
147,STX,100.0,2008-12-15 00:00:00
148,XL,-100.0,2008-12-17 00:00:00
149,STX,-100.0,2008-12-18 00:00:00
150,STX,-100.0,2008-12-22 00:00:00
151,CBG,100.0,2009-01-07 00:00:00
152,JDSU,100.0,2009-01-07 00:00:00
153,CBG,100.0,2009-01-09 00:00:00
154,STX,100.0,2009-01-12 00:00:00
155,C,100.0,2009-01-14 00:00:00
156,CBG,-100.0,2009-01-14 00:00:00
157,HBAN,100.0,2009-01-14 00:00:00
158,JDSU,-100.0,2009-01-14 00:00:00
159,TER,100.0,2009-01-14 00:00:00
160,CBG,-100.0,2009-01-16 00:00:00
161,FITB,100.0,2009-01-20 00:00:00
162,RF,100.0,2009-01-20 00:00:00
163,STX,-100.0,2009-01-20 00:00:00
164,TER,100.0,2009-01-20 00:00:00
165,C,-100.0,2009-01-22 00:00:00
166,HBAN,-100.0,2009-01-22 00:00:00
167,TER,-100.0,2009-01-22 00:00:00
168,FITB,-100.0,2009-01-27 00:00:00
169,RF,-100.0,2009-01-27 00:00:00
170,TER,-100.0,2009-01-27 00:00:00
171,TER,100.0,2009-01-29 00:00:00
172,GCI,100.0,2009-02-03 00:00:00
173,BAC,100.0,2009-02-04 00:00:00
174,TER,-100.0,2009-02-05 00:00:00
175,GCI,-100.0,2009-02-10 00:00:00
176,HST,100.0,2009-02-10 00:00:00
177,TER,100.0,2009-02-10 00:00:00
178,BAC,-100.0,2009-02-11 00:00:00
179,WYN,100.0,2009-02-13 00:00:00
180,BAC,100.0,2009-02-17 00:00:00
181,HST,-100.0,2009-02-18 00:00:00
182,TER,-100.0,2009-02-18 00:00:00
183,CBS,100.0,2009-02-19 00:00:00
184,JBL,100.0,2009-02-23 00:00:00
185,WYN,-100.0,2009-02-23 00:00:00
186,BAC,-100.0,2009-02-24 00:00:00
187,CBS,100.0,2009-02-25 00:00:00
188,GT,100.0,2009-02-25 00:00:00
189,CBS,-100.0,2009-02-26 00:00:00
190,BAC,100.0,2009-02-27 00:00:00
191,SLM,100.0,2009-02-27 00:00:00
192,AIV,100.0,2009-03-02 00:00:00
193,JBL,-100.0,2009-03-02 00:00:00
194,MAS,100.0,2009-03-02 00:00:00
195,TIE,100.0,2009-03-02 00:00:00
196,TXT,100.0,2009-03-02 00:00:00
197,XRX,100.0,2009-03-02 00:00:00
198,HIG,100.0,2009-03-03 00:00:00
199,IP,100.0,2009-03-03 00:00:00
200,NWL,100.0,2009-03-03 00:00:00
201,CBS,-100.0,2009-03-04 00:00:00
202,GT,-100.0,2009-03-04 00:00:00
203,AIV,100.0,2009-03-05 00:00:00
204,DFS,100.0,2009-03-05 00:00:00
205,HIG,100.0,2009-03-05 00:00:00
